count,fraction,lower_deg_inclusive,mode,n,record_type,scenario,scope,threshold_deg,upper_deg_exclusive
156,1.0,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,60,
156,1.0,,156_unique_groundtruth_crops,156,cdf_threshold,3_retrained_model_corrected_nematic_metric,controlled_unique_holdout,90,
30,0.21428571428571427,0.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,5.0
46,0.32857142857142857,5.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,10.0
23,0.16428571428571428,10.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,15.0
14,0.1,15.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,20.0
21,0.15,20.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,30.0
4,0.02857142857142857,30.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,45.0
1,0.007142857142857143,45.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,60.0
0,0.0,60.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,75.0
1,0.007142857142857143,75.0,all_groundtruth_centers,140,histogram_bin,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,,90.000001
30,0.21428571428571427,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,5,
76,0.5428571428571428,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,10,
99,0.7071428571428572,,all_groundtruth_centers,140,cdf_threshold,3_retrained_model_corrected_nematic_metric,manuscript_frozen_centers,15,
