index,kind,matched_index,matched_iou,mean_probability,status,t,voxel_count,weighted_probability,x,y,z
82,pred,132,0.279747225647349,0.9563084244728088,tp,8.458831126896998,6194,0.9206389770990452,171.96480464966095,163.88957055214723,119.05295447206974
83,pred,94,0.15730129390018488,0.8446510434150696,tp,6.0,4152,0.5450732168735561,190.9277456647399,115.76589595375722,42.854046242774565
84,pred,113,0.1229907452508524,0.931423544883728,tp,6.440890481064483,11724,1.697239758644197,200.80655066530196,112.93108154213579,92.28377686796316
85,pred,96,0.20379092475588745,0.9365096092224121,tp,6.0,8370,1.2183101737343236,210.6179211469534,66.3426523297491,90.72652329749104
86,pred,97,0.22824675324675325,0.9473371505737305,tp,6.0,9240,1.3604942639304878,211.36363636363637,98.51038961038961,56.83896103896104
87,pred,,,0.9124698638916016,fp,6.0,6729,0.954309469370607,215.94828354881855,233.80740080249666,134.7164511814534
88,pred,98,0.21170297707311514,0.9511429667472839,tp,6.0,8514,1.2586344705061066,222.77660324171953,140.1952078928823,136.0186751233263
89,pred,99,0.23207653348339896,0.94447261095047,tp,6.0,8838,1.297369071597812,227.78716904276985,184.61405295315683,147.10285132382893
90,pred,117,0.14460360582859966,0.896035373210907,tp,6.5251396648044695,7160,0.997145083237327,288.7949720670391,188.78505586592178,112.55614525139664
91,pred,102,0.13826366559485526,0.8972641229629517,tp,7.0,2493,0.34766642864103503,35.49699157641396,128.69434416365823,141.41034897713598
92,pred,103,0.14089704769114308,0.9425243735313416,tp,7.0,9948,1.4572985789486135,43.34650180940893,98.25,88.07056694813028
93,pred,105,0.30254041570438805,0.9590246081352234,tp,7.0,9318,1.388905290612902,84.96844816484224,204.24307791371538,61.899549259497746
94,pred,106,0.1904192917662394,0.9412530064582825,tp,7.0,8850,1.2947020095701158,95.28203389830509,214.23796610169492,133.71389830508474
95,pred,107,0.12901401369949095,0.956738293170929,tp,7.590590906224381,15857,2.3579487312158265,118.37642681465599,78.27073216875827,98.94904458598727
96,pred,108,0.21297998918334238,0.9408631920814514,tp,7.0,9105,1.3314553398975633,116.73904448105436,246.29884678747942,66.25271828665568
97,pred,121,0.17224298253237158,0.9543710350990295,tp,7.608084358523726,11380,1.688028159505306,141.58796133567662,119.64349736379613,64.29112478031634
98,pred,111,0.17866492146596857,0.936843991279602,tp,7.0,8697,1.266359231807638,156.22111072783719,102.83822007588823,78.33183856502242
99,pred,95,0.20900483481063659,0.939446210861206,tp,7.0,9894,1.444654517971683,191.22013341419043,148.27107337780473,98.12067919951485
100,pred,114,0.21535405468567426,0.957281231880188,tp,7.0,8292,1.2337268393922196,222.70767004341533,209.90774240231548,103.57018813314038
101,pred,115,0.21239351149492358,0.9407642483711243,tp,7.0,8280,1.210685431459608,226.5909420289855,84.65978260869565,76.53152173913044
102,pred,116,0.22690437601296598,0.9405232667922974,tp,7.0,9246,1.3515857608096733,265.16547696301103,226.31732641142116,146.1404931862427
103,pred,118,0.20792664892043777,0.940511167049408,tp,7.0,10143,1.4826906776092568,326.0913930789707,182.71132800946467,101.73676427092576
104,pred,119,0.15807371654234315,0.945902407169342,tp,8.0,8448,1.2419966112140686,81.015625,85.90234375,102.36186079545455
105,pred,120,0.21301392036257694,0.9393130540847778,tp,8.0,9132,1.3332034713703669,131.71189224704335,247.7894218134034,122.33311432325887
106,pred,122,0.2189828312277292,0.9682679176330566,tp,8.0,9180,1.3815238872231659,166.14738562091503,84.7437908496732,84.95653594771242
107,pred,123,0.1977451088758705,0.9423224925994873,tp,8.0,8727,1.2781584882639248,188.8088690271571,169.77071158473703,46.73014781711929
108,pred,136,0.1924892478757998,0.9578437805175781,tp,8.010584296360298,9259,1.3784116744717017,240.99686791230155,220.74014472405227,47.285019980559454
109,pred,124,0.2176902458920872,0.9331468939781189,tp,8.0,8340,1.2095845764983104,258.5172661870504,158.88345323741007,53.492446043165465
110,pred,125,0.22691632533645412,0.932118833065033,tp,8.096835820895523,8375,1.2133225620972166,263.208,57.083701492537315,78.11510447761194
111,pred,126,0.22961854899027667,0.9338332414627075,tp,8.0,6111,0.886955412104064,309.76779577810504,78.52135493372607,136.99705449189986
112,pred,127,0.32006394884092726,0.9356882572174072,tp,8.5,6148,0.8940981844256517,44.442094990240726,147.85426154847104,91.21698113207547
113,pred,128,0.31984496124031003,0.9350273609161377,tp,8.5,6404,0.9306702206717685,68.61180512179888,135.26764522173642,122.32229856339788
114,pred,129,0.2777110243316312,0.9683288931846619,tp,8.5,6398,0.9629135572559533,116.13723038449515,119.14535792435136,61.83088465145358
115,pred,131,0.2319988682982035,0.9477234482765198,tp,8.5,6600,0.972177882568563,141.5381818181818,145.42303030303032,47.31515151515151
116,pred,133,0.2237244487365202,0.957260012626648,tp,8.5,5494,0.8174077437583731,198.63523844193665,120.78194393884237,60.50382235165635
117,pred,134,0.35261569416498995,0.9454923272132874,tp,8.5,5958,0.8755454243480523,204.64719704598858,184.27727425310508,136.17019133937563
118,pred,135,0.3174956300651517,0.9615936875343323,tp,8.5,6182,0.9239336390924007,229.99352960207054,105.17114202523456,153.11711420252345
119,pred,138,0.30961506415597406,0.9684772491455078,tp,8.5,5750,0.8655206674540086,242.10052173913044,50.67895652173913,117.59721739130435
120,pred,137,0.31038069482005404,0.9406851530075073,tp,8.5,4190,0.6126021088438671,243.40620525059666,229.94033412887828,74.1928400954654
121,pred,139,0.34253938832252084,0.94025719165802,tp,8.5,5134,0.7502788484840018,248.94234514998053,114.32450331125828,63.774444877288666
122,pred,141,0.27970139771283353,0.9556742906570435,tp,8.5,5948,0.8834887784390351,266.2743779421654,72.97948890383321,134.09986550100874
123,pred,143,0.2774741081703107,0.9458134770393372,tp,8.5,6772,0.9955031131350294,302.2356763142351,168.30596574128765,143.72445363260485
124,pred,144,0.2788306155428235,0.9363004565238953,tp,8.5,6596,0.9598780423743583,318.20648878107943,146.61067313523347,90.76197695573074
