match_id,pred_rendered_center_vs_replay_rounded_distance,replay_iou,replay_pred_index,replay_pred_t,replay_spatial_distance_raw_voxels,replay_true_index,replay_true_t,saved_row_present,true_rendered_center_vs_replay_rounded_distance
92,0.0,0.16146842309182485,75,5.0,4.101629809950561,87,5.0,True,0.0
93,0.0,0.16124736433248255,42,3.0,4.589381438721232,42,3.0,True,0.0
94,0.0,0.16035493582633498,16,2.0,5.062493300725113,39,3.0,True,0.0
95,0.0,0.15807371654234315,104,8.0,4.7586747611821965,119,8.0,True,0.0
96,0.0,0.15733991252663448,72,5.0,4.653482630276137,82,5.0,True,0.0
97,0.0,0.15730129390018488,83,6.0,4.994835324192455,94,6.0,True,0.0
98,0.0,0.1569227406840783,20,2.0,4.672914857089761,18,2.0,True,0.0
99,0.0,0.15590068256009493,78,5.0,4.505215311194331,89,5.0,True,0.0
100,0.0,0.1540247678018576,64,4.0,5.331987460414167,66,4.0,True,0.0
101,0.0,0.15401015228426396,73,5.0,4.833061728392028,84,5.0,True,0.0
102,0.0,0.15150004983554277,39,3.0,4.573837782482889,41,3.0,True,0.0
103,0.0,0.15039754765782165,7,3.3842424242424243,5.813637516683533,53,4.0,True,0.0
104,0.0,0.14884393063583812,53,4.0,4.018588188267465,51,4.0,True,0.0
105,0.0,0.14674609757936807,31,3.9928996793403573,2.8186728283519566,31,3.0,True,0.0
106,0.0,0.14597369265319216,18,2.0,5.225391556295579,15,2.0,True,0.0
107,0.0,0.14460360582859966,90,6.5251396648044695,4.625203459498739,117,7.0,True,0.0
108,0.0,0.14089704769114308,92,7.0,5.137432498767732,103,7.0,True,0.0
109,0.0,0.13826366559485526,91,7.0,5.352532729855963,102,7.0,True,0.0
110,0.0,0.13785670293574215,71,5.0,5.376371066654236,79,5.0,True,0.0
111,0.0,0.1306799336650083,77,6.811194429566149,6.857107400010869,100,6.0,True,0.0
112,0.0,0.12901401369949095,95,7.590590906224381,8.541701720072245,107,7.0,True,0.0
113,0.0,0.1229907452508524,84,6.440890481064483,4.7704251624317475,113,7.0,True,0.0
114,0.0,0.1169622309462569,40,3.466963107065935,4.42129570916132,62,4.0,True,0.0
115,0.0,0.1143626570915619,61,5.956153100775194,9.2973995847718,112,7.0,True,0.0
116,0.0,0.11324546367988653,5,3.682888915460959,3.5989602192070738,76,5.0,True,0.0
117,0.0,0.10960012951270848,41,3.851422550052687,2.1810010606392196,83,5.0,True,0.0
118,0.0,0.10855444236485745,81,6.513395085695269,7.264121169035457,92,6.0,True,0.0
119,0.0,0.1084070796460177,74,5.0,5.137456479631564,85,5.0,True,0.0
120,0.0,0.10667639547610364,3,2.5464083320569766,5.469175886355821,30,3.0,True,0.0
121,0.0,0.10140299445084289,28,3.0526148969889064,9.219480158837607,70,4.0,True,0.0
122,0.0,0.08000496154800296,9,3.8826836581709148,11.978599618750785,6,2.0,True,0.0
123,0.0,0.0718191222107285,37,4.396721555216891,6.537069855040943,93,6.0,True,0.0
124,0.0,0.065041515861188,22,3.010105353687379,10.425667407814926,19,2.0,True,0.0
125,0.0,0.0009668374746205632,15,2.0,15.506114089492371,13,2.0,True,0.0
